Year,CityID_From,CityID_To,Connections,Distance
2003,386,387,2,122.032
2003,386,388,0,272.716
2003,386,389,0,56.543
2003,386,390,0,140.197
2003,386,391,1,178.485
2003,386,392,0,120.059
2003,386,393,0,257.026
2003,386,394,1,161.889
2003,386,396,1,134.533
2003,386,1842,0,109.578
2003,386,2103,0,157.627
2003,387,379,97,63.921
2003,387,380,0,281.931
2003,387,381,0,236.007
2003,387,382,0,180.473
2003,387,383,1,148.53
2003,387,384,1,84.797
2003,387,385,1,289.949
2003,387,386,2,122.096
2003,387,388,1,153.36
2003,387,389,0,157.185
2003,387,390,0,50.355
2003,387,391,0,119.52
2003,387,392,0,240.899
2003,387,393,0,148.802
2003,387,394,1,44.033
2003,387,396,0,186.201
2003,387,1842,0,100.288
2003,387,2103,0,172.349
2003,388,379,43,214.942
2003,388,380,0,433.115
2003,388,381,0,387.028
2003,388,382,1,330.402
2003,388,383,1,214.417
2003,388,384,2,99.027
2003,388,385,0,440.97
2003,388,386,0,273.445
2003,388,387,1,154.08
2003,388,389,0,311.019
2003,388,390,0,158.395
2003,388,391,0,152.582
2003,388,392,0,391.933
2003,388,393,0,53.812
2003,388,394,0,111.341
2003,388,396,0,337.222
2003,388,1842,0,223.916
2003,388,2103,0,305.404
2003,389,379,24,98.983
2003,389,380,0,125.642
2003,389,381,0,132.238
2003,389,382,2,116.875
2003,389,383,2,217.24
2003,389,384,0,218.768
2003,389,385,0,168.437
2003,389,386,0,55.863
2003,389,387,0,157.245
2003,389,388,0,310.274
2003,389,390,0,156.799
2003,389,391,0,233.772
2003,389,392,0,100.218
2003,389,393,0,305.716
2003,389,394,0,200.947
2003,389,396,0,94.364
2003,389,1842,0,163.749
2003,389,2103,0,131.77
2003,390,379,28,60.045
2003,390,380,0,278.218
2003,390,381,1,232.131
2003,390,382,0,221.995
2003,390,383,0,198.887
2003,390,384,0,63.473
2003,390,385,0,286.072
2003,390,386,0,140.41
2003,390,387,0,50.357
2003,390,388,0,158.611
2003,390,389,0,157.265
2003,390,391,0,169.877
2003,390,392,0,247.857
2003,390,393,0,171.909
2003,390,394,1,79.184
2003,390,396,0,182.325
2003,390,1842,0,150.645
2003,390,2103,0,162.389
2003,391,379,23,179.654
2003,391,380,0,356.98
2003,391,381,0,351.296
2003,391,382,1,208.863
2003,391,383,1,62.004
2003,391,384,1,173.184
2003,391,385,0,399.775
2003,391,386,1,179.26
2003,391,387,0,119.505
2003,391,388,0,152.331
2003,391,389,0,234.232
2003,391,390,0,169.86
2003,391,392,0,294.809
2003,391,393,0,111.401
2003,391,394,0,95.983
2003,391,396,0,301.934
2003,391,1842,0,84.018
2003,391,2103,0,288.081
2003,392,379,30,189.829
2003,392,380,0,117.965
2003,392,381,0,188.742
2003,392,382,0,92.785
2003,392,383,1,260.88
2003,392,384,0,309.614
2003,392,385,0,166.701
2003,392,386,0,119.652
2003,392,387,0,240.864
2003,392,388,0,391.791
2003,392,389,0,99.742
2003,392,390,0,247.645
2003,392,391,0,294.416
2003,392,393,0,376.101
2003,392,394,0,280.964
2003,392,396,0,170.962
2003,392,1842,0,215.499
2003,392,2103,0,224.463
2003,393,379,16,213.025
2003,393,380,0,431.034
2003,393,381,0,385.111
2003,393,382,0,314.685
2003,393,383,1,171.673
2003,393,384,0,132.181
2003,393,385,0,439.052
2003,393,386,0,257.835
2003,393,387,0,149.349
2003,393,388,0,53.966
2003,393,389,0,306.288
2003,393,390,0,171.927
2003,393,391,0,111.58
2003,393,392,0,376.323
2003,393,394,0,106.465
2003,393,396,0,335.304
2003,393,1842,0,192.017
2003,393,2103,0,321.452
2003,394,379,62,107.978
2003,394,380,0,325.988
2003,394,381,0,280.064
2003,394,382,1,219.486
2003,394,383,2,136.12
2003,394,384,1,77.851
2003,394,385,0,334.006
2003,394,386,1,162.529
2003,394,387,1,44.302
2003,394,388,0,111.068
2003,394,389,0,201.241
2003,394,390,1,79.491
2003,394,391,0,96.217
2003,394,392,0,281.017
2003,394,393,0,106.312
2003,394,396,0,230.258
2003,394,1842,0,118.321
2003,394,2103,0,216.406
2003,396,379,50,122.857
2003,396,380,0,116.119
2003,396,381,3,53.391
2003,396,382,0,210.211
2003,396,383,0,297.623
2003,396,384,0,243.899
2003,396,385,3,120.794
2003,396,386,1,134.86
2003,396,387,0,185.9
2003,396,388,0,337.685
2003,396,389,0,94.527
2003,396,390,0,182.348
2003,396,391,0,302.375
2003,396,392,0,171.453
2003,396,393,0,334.371
2003,396,394,0,229.602
2003,396,1842,0,244.132
2003,396,2103,0,59.907
2003,1842,379,16,141.05
2003,1842,380,1,286.79
2003,1842,381,0,282.148
2003,1842,382,0,135.148
2003,1842,383,1,58.44
2003,1842,384,0,185.057
2003,1842,385,0,329.585
2003,1842,386,0,110.111
2003,1842,387,0,100.259
2003,1842,388,0,223.575
2003,1842,389,0,164.043
2003,1842,390,0,150.615
2003,1842,391,0,83.867
2003,1842,392,0,215.594
2003,1842,393,0,191.808
2003,1842,394,0,118.504
2003,1842,396,0,243.774
2003,1842,2103,0,244.593
2003,2103,379,2,108.681
2003,2103,380,0,175.706
2003,2103,381,0,99.977
2003,2103,382,0,239.129
2003,2103,383,0,296.935
2003,2103,384,0,206.802
2003,2103,385,0,178.671
2003,2103,386,0,157.045
2003,2103,387,0,171.724
2003,2103,388,0,305.503
2003,2103,389,0,131.756
2003,2103,390,0,162.431
2003,2103,391,0,288.199
2003,2103,392,0,224.436
2003,2103,393,0,320.195
2003,2103,394,0,215.426
2003,2103,396,0,59.807
2003,2103,1842,0,243.444
2004,379,380,225,218.669
2004,379,381,168,172.582
2004,379,382,270,168.367
2004,379,383,319,194.517
2004,379,384,212,122.232
2004,379,385,111,226.524
2004,379,386,138,84.142
2004,379,387,191,63.724
2004,379,388,99,215.509
2004,379,389,68,99.179
2004,379,390,82,60.172
2004,379,391,45,180.199
2004,379,392,44,189.771
2004,379,393,47,212.195
2004,379,394,149,107.426
2004,379,396,106,122.776
2004,379,1842,28,141.026
2004,379,2103,17,109.108
2004,380,379,225,218.697
2004,380,381,8,98.981
2004,380,382,3,202.51
2004,380,383,5,340.109
2004,380,384,1,339.739
2004,380,385,3,48.736
2004,380,386,0,178.733
2004,380,387,1,281.741
2004,380,388,0,433.525
2004,380,389,0,124.786
2004,380,390,0,278.189
2004,380,391,0,356.641
2004,380,392,0,118.216
2004,380,393,1,430.212
2004,380,394,1,325.443
2004,380,396,3,116.095
2004,380,1842,1,286.619
2004,380,2103,0,175.746
2004,381,379,168,172.569
2004,381,380,8,99.045
2004,381,382,0,244.305
2004,381,383,1,336.081
2004,381,384,0,293.318
2004,381,385,1,78.693
2004,381,386,1,173.318
2004,381,387,1,235.613
2004,381,388,0,387.397
2004,381,389,0,132.251
2004,381,390,2,232.061
2004,381,391,0,351.498
2004,381,392,0,189.324
2004,381,393,1,384.084
2004,381,394,1,279.315
2004,381,396,4,53.074
2004,381,1842,0,282.591
2004,381,2103,0,100.763
2004,382,379,270,167.813
2004,382,380,3,202.556
2004,382,381,0,244.261
2004,382,383,4,168.887
2004,382,384,3,264.1
2004,382,385,0,251.293
2004,382,386,5,84.98
2004,382,387,1,180.1
2004,382,388,2,330.089
2004,382,389,3,116.686
2004,382,390,0,221.949
2004,382,391,2,208.954
2004,382,392,1,92.961
2004,382,393,1,314.4
2004,382,394,3,219.262
2004,382,396,0,210.0
2004,382,1842,0,135.308
2004,382,2103,0,239.438
2004,383,379,319,194.805
2004,383,380,5,340.546
2004,383,381,1,335.903
