year,source,target,travel_time,length
2002,Szeged,Békéscsaba,1.1722916358731907,95114.34700000001
2002,Szeged,Miskolc,3.626377571551021,280740.45399999997
2002,Szeged,Győr,3.0328959026541646,284793.45199999993
2002,Szeged,Nyíregyháza,3.8020679370441295,268325.92600000015
2002,Szeged,Székesfehérvár,2.5747076767161636,213567.931
2002,Szeged,Veszprém,2.967622796327121,242945.73500000002
2002,Kecskemét,Békéscsaba,1.2934803984199137,124184.88899999998
2002,Kecskemét,Miskolc,2.3466890574236547,201121.76100000003
2002,Kecskemét,Győr,1.7608006618174,199893.46300000005
2002,Kecskemét,Nyíregyháza,3.2822782560314856,256637.68500000006
2002,Kecskemét,Székesfehérvár,1.3026124358793987,140859.678
2002,Kecskemét,Veszprém,1.695527555490356,170237.48200000002
2002,Békéscsaba,Miskolc,3.5199923649312415,227138.44499999995
2002,Békéscsaba,Győr,2.949702506348424,320063.19499999983
2002,Békéscsaba,Nyíregyháza,2.7416119354566533,179531.03900000005
2002,Békéscsaba,Székesfehérvár,2.491514280410423,261124.35799999998
2002,Békéscsaba,Veszprém,2.8844294000213804,291991.04599999986
2002,Miskolc,Győr,2.7447044058833012,298712.12299999996
2002,Miskolc,Nyíregyháza,1.5454542718207973,87695.37899999999
2002,Miskolc,Székesfehérvár,2.313749508189278,246941.61400000006
2002,Győr,Nyíregyháza,3.680293604491129,354228.0470000003
2002,Győr,Székesfehérvár,1.1214919887517685,85917.52100000005
2002,Nyíregyháza,Székesfehérvár,3.2493387067971087,302457.538
2002,Zalaegerszeg,Szekszárd,3.258084552673739,206749.39200000005
2002,Zalaegerszeg,Kaposvár,2.1234610139741785,125376.39199999998
2002,Zalaegerszeg,Eger,3.8342809131215185,350882.04899999994
2002,Zalaegerszeg,Debrecen,5.063701696369515,442388.655
2002,Zalaegerszeg,Szeged,4.577929161489184,341007.65500000014
2002,Zalaegerszeg,Kecskemét,3.30583392065242,268299.4020000001
2002,Zalaegerszeg,Békéscsaba,4.494735765183444,390052.9659999999
2002,Zalaegerszeg,Miskolc,4.316970992962303,400120.96300000005
2002,Zalaegerszeg,Győr,1.8332807079041433,155421.02899999998
2002,Zalaegerszeg,Nyíregyháza,5.25256019157013,455636.88700000016
2002,Zalaegerszeg,Székesfehérvár,2.104465058773387,162441.70200000002
2002,Zalaegerszeg,Salgótarján,3.8227406173357026,333613.06500000006
2002,Zalaegerszeg,Tatabánya,2.2669714044824216,216818.69400000005
2002,Zalaegerszeg,Veszprém,1.6257575651620655,118265.62100000004
2002,Salgótarján,Szekszárd,2.918979896571817,254799.8019999999
2002,Salgótarján,Kaposvár,3.362490119863286,311569.6670000001
