u,v,key,osmid,oneway,lanes,ref,highway,length,name,maxspeed,bridge,junction,access,tunnel,width,service,maxspeed_new,speedcolor
351644796,16932299,0,"[690945792, 690945793, 753510658, 690945795, 690945796, 690945797, 690945798, 690945799, 753510657, 690945801, 690945802, 690945803, 690945804, 690945805, 66656782, 690945807, 690945808, 690945806, 666515320, 261250709, 502747289, 666515321, 453279793, 707843635, 707843636, 707843638, 707843639, 707843640, 707843641, 707843642, 220025532, 753510655, 856980294, 856980296, 753510656, 110247544, 41713361, 41714395, 450844391, 450844392, 690945790, 792680309, 4068214, 4068215, 4068216, 4068217, 666515322, 526420732, 690945789, 110247550, 690945791]",False,"['5', '4', '6']",6,primary,4701.894000000002,"['Nagy Lajos király útja', 'Makay István út', 'Nendtvich Andor út', 'Athinay utca', 'József Attila utca']",56.04226920355552,,,,,,,56.04226920355552,#481c6e
351644796,351665180,0,66656784,True,1,,primary_link,53.798,,,,,,,,,40.0,#440154
351665180,2342204525,0,3551814,False,5,58,primary,42.260999999999996,Alsómalom utca,50.0,,,,,,,50.0,#440154
351665180,516011826,0,"[220025548, 313669370, 496134687, 41809315, 313669321, 313669323, 380226225, 75513394, 313669324, 41809335, 313669310, 521085121, 110247489, 313669327, 313669316, 3551813, 313669328, 337381449, 313669322, 76739147, 220025547, 313669325, 518338254, 313669326, 220025551, 220025550, 220025552, 313669329, 518338260, 313669331, 313669334, 313669330, 261385816, 313669336, 313669338, 313669332, 313669340, 313669341, 313669342, 313669337, 313669344, 313669339, 81147234, 313669346, 313669348, 313669345, 313669333, 261073255, 261410791, 261253840, 313669335, 518338170]",False,"['5', '6', '4', '3']",58,primary,2857.4839999999995,"['Árpád híd', 'Alsómalom utca', 'Siklósi út']",52.59162512621777,yes,,,,,,52.59162512621777,#470d60
360354580,360352917,0,204046006,True,1,,primary_link,12.925,Alsó-malom utca,50.0,,,,,,,50.0,#440154
360354580,2140582069,0,41246450,False,4,6,primary,55.986999999999995,Rákóczi út,50.00000000000001,,,,,,,50.00000000000001,#440154
360354580,3184281703,0,"[312555434, 312555435, 312555437, 312555438, 312555439, 204046005, 204046007, 204046008, 220025529, 220025530]",False,"['7', '5', '4', '6']",6,primary,302.98800000000006,"['Alsó-malom utca', 'Alsómalom utca']",50.0,,,,,,,50.0,#440154
360357202,514433434,0,4669036,False,5,6,primary,51.45,Pécsváradi út,50.0,,,,,,,50.0,#440154
360357202,514423321,0,4670076,False,4,66,primary,53.166,Komlói út,49.99999999999999,,,,,,,49.99999999999999,#440154
360357202,514423678,0,204479796,True,2,6,primary,42.491,Zsolnay Vilmos utca,50.00000000000001,,,,,,,50.00000000000001,#440154
480487155,26234686,0,335875790,True,1,58,primary,63.290000000000006,,90.0,,,,,,,90.0,#21918c
480487155,3429869991,0,335875792,False,2,58,primary,904.0509999999998,,90.00000000000001,,,,,,,90.00000000000001,#21918c
480487168,331047126,0,319642542,True,1,58,primary,42.343999999999994,,90.0,,,,,,,90.0,#21918c
480487168,498397189,0,"[351639302, 351639303, 351639305, 335875788, 335875791, 351639313, 351639314, 351639316, 351639317, 351639318]",False,"['2', '3']",58,primary,2464.5620000000004,,81.29995878750525,,,,,,,81.29995878750525,#2a768e
480487169,2838755952,0,8084929,True,1,58,primary,11.012,,90.00000000000001,,roundabout,,,,,90.00000000000001,#21918c
498396814,331047130,0,"[336702114, 40924795, 336702119]",True,"['2', '1']",58,primary,170.832,EU;EEA;CH | All passports car,30.000000000000004,,,,,,,30.000000000000004,#440154
498396814,1601725404,0,"[40924800, 40924807, 351639309, 351639312, 351639315, 147064980, 351639319, 358621463, 358621464, 147064985, 336702112, 336702113, 694603684, 358622535, 147151951, 335875796, 34995038, 691072101, 691072102, 338768373, 40924798, 40924799]",False,2,58,primary,6070.566,Fő utca,66.79463070393126,yes,,,,,,66.79463070393126,#404688
498397189,480487168,0,"[351639302, 351639303, 351639305, 335875788, 335875791, 351639313, 351639314, 351639316, 351639317, 351639318]",False,"['2', '3']",58,primary,2464.561999999999,,81.29995878750525,,,,,,,81.29995878750525,#2a768e
